,Price,Date,Year,Type,Lat,Lon,cluster
301,346000,2010-05-21,2010,T,51.39153473873874,-0.3356007297297297,73
302,370000,2011-06-17,2011,T,51.39153473873874,-0.3356007297297297,73
303,299999,2011-06-17,2011,T,51.39153473873874,-0.3356007297297297,73
304,540000,2012-11-12,2012,T,51.39153473873874,-0.3356007297297297,73
305,410000,2013-08-23,2013,T,51.39153473873874,-0.3356007297297297,73
306,555000,2013-10-03,2013,T,51.39153473873874,-0.3356007297297297,73
307,410000,2013-08-07,2013,T,51.39153473873874,-0.3356007297297297,73
308,476000,2014-11-20,2014,T,51.39153473873874,-0.3356007297297297,73
309,410000,2014-03-31,2014,T,51.39153473873874,-0.3356007297297297,73
310,497000,2014-11-28,2014,T,51.39153473873874,-0.3356007297297297,73
311,498950,2014-11-07,2014,T,51.39153473873874,-0.3356007297297297,73
312,517500,2014-07-24,2014,T,51.39153473873874,-0.3356007297297297,73
313,775000,2015-12-09,2015,T,51.39153473873874,-0.3356007297297297,73
314,485000,2015-12-15,2015,T,51.39153473873874,-0.3356007297297297,73
315,450000,2015-08-13,2015,T,51.39153473873874,-0.3356007297297297,73
316,735000,2017-11-08,2017,T,51.39153473873874,-0.3356007297297297,73
317,585000,2018-10-05,2018,T,51.39153473873874,-0.3356007297297297,73
318,426000,2019-05-17,2019,T,51.39153473873874,-0.3356007297297297,73
319,525000,2019-11-01,2019,T,51.39153473873874,-0.3356007297297297,73
320,510000,2020-11-19,2020,T,51.39153473873874,-0.3356007297297297,73
321,525000,2020-01-21,2020,T,51.39153473873874,-0.3356007297297297,73
322,560000,2021-01-11,2021,T,51.39153473873874,-0.3356007297297297,73
323,625000,2021-03-24,2021,T,51.39153473873874,-0.3356007297297297,73
324,825000,2021-12-13,2021,T,51.39153473873874,-0.3356007297297297,73
325,790000,2021-06-28,2021,T,51.39153473873874,-0.3356007297297297,73
326,710000,2021-03-17,2021,T,51.39153473873874,-0.3356007297297297,73
327,425000,2010-06-18,2010,T,51.39153473873874,-0.3356007297297297,73
328,599950,2013-08-01,2013,T,51.39153473873874,-0.3356007297297297,73
329,617500,2017-07-17,2017,T,51.39153473873874,-0.3356007297297297,73
330,695000,2020-08-18,2020,T,51.39153473873874,-0.3356007297297297,73
331,337250,2010-08-31,2010,T,51.39153473873874,-0.3356007297297297,73
332,320000,2010-07-19,2010,T,51.39153473873874,-0.3356007297297297,73
333,295000,2011-08-26,2011,T,51.39153473873874,-0.3356007297297297,73
334,357000,2011-08-05,2011,T,51.39153473873874,-0.3356007297297297,73
335,725000,2012-06-01,2012,T,51.39153473873874,-0.3356007297297297,73
336,365000,2012-03-23,2012,T,51.39153473873874,-0.3356007297297297,73
337,490000,2012-09-21,2012,T,51.39153473873874,-0.3356007297297297,73
338,399950,2013-09-09,2013,T,51.39153473873874,-0.3356007297297297,73
339,391525,2013-04-18,2013,T,51.39153473873874,-0.3356007297297297,73
340,442000,2014-09-29,2014,T,51.39153473873874,-0.3356007297297297,73
341,477000,2014-10-31,2014,T,51.39153473873874,-0.3356007297297297,73
342,390000,2014-05-02,2014,T,51.39153473873874,-0.3356007297297297,73
343,454000,2014-07-25,2014,T,51.39153473873874,-0.3356007297297297,73
344,477000,2014-08-22,2014,T,51.39153473873874,-0.3356007297297297,73
345,487950,2015-10-09,2015,T,51.39153473873874,-0.3356007297297297,73
346,498500,2015-12-14,2015,T,51.39153473873874,-0.3356007297297297,73
347,485000,2016-02-18,2016,T,51.39153473873874,-0.3356007297297297,73
348,767000,2016-01-22,2016,T,51.39153473873874,-0.3356007297297297,73
349,530000,2016-08-31,2016,T,51.39153473873874,-0.3356007297297297,73
350,660000,2016-09-23,2016,T,51.39153473873874,-0.3356007297297297,73
351,499950,2016-02-22,2016,T,51.39153473873874,-0.3356007297297297,73
352,710000,2017-10-06,2017,T,51.39153473873874,-0.3356007297297297,73
353,585000,2017-05-12,2017,T,51.39153473873874,-0.3356007297297297,73
354,595000,2017-05-03,2017,T,51.39153473873874,-0.3356007297297297,73
355,595000,2017-05-25,2017,T,51.39153473873874,-0.3356007297297297,73
356,560000,2018-07-23,2018,T,51.39153473873874,-0.3356007297297297,73
357,840000,2018-10-26,2018,T,51.39153473873874,-0.3356007297297297,73
358,500000,2019-03-28,2019,T,51.39153473873874,-0.3356007297297297,73
359,455000,2020-03-27,2020,T,51.39153473873874,-0.3356007297297297,73
360,540000,2020-09-25,2020,T,51.39153473873874,-0.3356007297297297,73
361,550000,2020-10-16,2020,T,51.39153473873874,-0.3356007297297297,73
362,530644,2021-06-03,2021,T,51.39153473873874,-0.3356007297297297,73
363,765000,2021-12-08,2021,T,51.39153473873874,-0.3356007297297297,73
364,550000,2021-02-04,2021,T,51.39153473873874,-0.3356007297297297,73
365,620000,2021-03-16,2021,T,51.39153473873874,-0.3356007297297297,73
366,550350,2021-09-30,2021,T,51.39153473873874,-0.3356007297297297,73
367,350000,2011-06-06,2011,T,51.39153473873874,-0.3356007297297297,73
368,346000,2012-11-02,2012,T,51.39153473873874,-0.3356007297297297,73
369,740000,2013-07-05,2013,T,51.39153473873874,-0.3356007297297297,73
370,735000,2013-10-03,2013,T,51.39153473873874,-0.3356007297297297,73
371,620000,2014-07-21,2014,T,51.39153473873874,-0.3356007297297297,73
372,641000,2014-08-08,2014,T,51.39153473873874,-0.3356007297297297,73
373,635000,2015-08-21,2015,T,51.39153473873874,-0.3356007297297297,73
