,5y_ret,5y_ret_ward,Price,Year,Type,Ward
169,0.015676117775354603,0.1607142857142858,1625000.0,2020,D,Oxshott and Stoke D'Abernon
185,0.16966773402087565,0.3063583815028901,1695000.0,2021,D,Oxshott and Stoke D'Abernon
281,0.21156151247684418,0.5010351966873705,217500.0,2015,F,Oxshott and Stoke D'Abernon
297,0.03513513513513522,0.5,187500.0,2016,F,Oxshott and Stoke D'Abernon
313,2.9668899521531102,3.4363636363636365,610000.0,2017,F,Oxshott and Stoke D'Abernon
329,6.180555555555555,6.555555555555555,1700000.0,2018,F,Oxshott and Stoke D'Abernon
345,-0.6517396313364054,-0.4075,355500.0,2019,F,Oxshott and Stoke D'Abernon
361,0.8519821721792167,0.9540229885057472,425000.0,2020,F,Oxshott and Stoke D'Abernon
377,1.924309963099631,1.928,549000.0,2021,F,Oxshott and Stoke D'Abernon
473,-0.12094354429211096,0.25836680053547534,587500.0,2015,S,Oxshott and Stoke D'Abernon
489,-0.06956222104593923,0.4050140501405015,702500.0,2016,S,Oxshott and Stoke D'Abernon
505,-0.030444964871194413,0.4285714285714286,700000.0,2017,S,Oxshott and Stoke D'Abernon
521,-0.003984753984753953,0.38063063063063063,766250.0,2018,S,Oxshott and Stoke D'Abernon
537,0.017729864094458314,0.21499013806706113,770000.0,2019,S,Oxshott and Stoke D'Abernon
553,0.1045744680851064,0.2595744680851064,740000.0,2020,S,Oxshott and Stoke D'Abernon
569,-0.1167218881662373,-0.001779359430605032,701250.0,2021,S,Oxshott and Stoke D'Abernon
665,-0.20794126109845723,0.1123227917121048,510000.0,2015,T,Oxshott and Stoke D'Abernon
681,-0.1257157455587503,0.344578313253012,558000.0,2016,T,Oxshott and Stoke D'Abernon
697,1.3161434977578477,1.8161434977578477,1570000.0,2017,T,Oxshott and Stoke D'Abernon
713,-0.11850350350350358,0.2761261261261261,708250.0,2018,T,Oxshott and Stoke D'Abernon
729,-0.2824211456296146,-0.060939060939060985,470000.0,2019,T,Oxshott and Stoke D'Abernon
745,0.9260249554367201,1.107843137254902,1075000.0,2020,T,Oxshott and Stoke D'Abernon
761,-0.28556799063711513,-0.19713261648745517,448000.0,2021,T,Oxshott and Stoke D'Abernon
90,0.05163928433287124,0.2875000000000001,1030000.0,2015,D,Thames Ditton
106,-0.13809523809523805,0.18571428571428572,1037500.0,2016,D,Thames Ditton
122,0.01296871405567046,0.3509316770186335,1087500.0,2017,D,Thames Ditton
138,-0.01827128797603761,0.25365853658536586,1028000.0,2018,D,Thames Ditton
154,0.02263779527559051,0.125,1057500.0,2019,D,Thames Ditton
170,-0.05523234269621269,0.08980582524271852,1122500.0,2020,D,Thames Ditton
186,0.0228515211926843,0.15954216867469873,1203025.0,2021,D,Thames Ditton
282,0.19052631578947365,0.48,370000.0,2015,F,Thames Ditton
298,0.20713513513513515,0.6719999999999999,418000.0,2016,F,Thames Ditton
314,0.10676393955185004,0.5762376237623763,398000.0,2017,F,Thames Ditton
330,0.037280701754385914,0.4122807017543859,402500.0,2018,F,Thames Ditton
346,-0.04731655441332849,0.19692307692307698,389000.0,2019,F,Thames Ditton
362,-0.0885273028130169,0.013513513513513598,375000.0,2020,F,Thames Ditton
378,-0.046752237857306755,-0.0430622009569378,400000.0,2021,F,Thames Ditton
474,0.10588965517241378,0.4852000000000001,787156.0,2015,S,Thames Ditton
490,0.038698065096745005,0.5132743362831858,855000.0,2016,S,Thames Ditton
506,0.002251212191179741,0.46126760563380276,830000.0,2017,S,Thames Ditton
522,-0.004223227752639502,0.3803921568627451,880000.0,2018,S,Thames Ditton
538,-0.08020341778531193,0.11705685618729089,835000.0,2019,S,Thames Ditton
554,-0.0770688148219667,0.07793118517803332,848500.0,2020,S,Thames Ditton
570,-0.0652349263964509,0.04970760233918137,897500.0,2021,S,Thames Ditton
666,0.38120653542473204,0.7014705882352941,578500.0,2015,T,Thames Ditton
682,-0.09045840773717329,0.37983565107458905,545725.0,2016,T,Thames Ditton
698,-0.04878048780487809,0.4512195121951219,595000.0,2017,T,Thames Ditton
714,-0.061296296296296404,0.33333333333333326,700000.0,2018,T,Thames Ditton
730,0.19375272143702005,0.4152348061275737,720000.0,2019,T,Thames Ditton
746,0.005735837196511273,0.18755401901469315,687000.0,2020,T,Thames Ditton
762,0.14845133618979678,0.23688671033945674,675000.0,2021,T,Thames Ditton
91,-0.08153972801280784,0.154320987654321,935000.0,2015,D,Walton Central
107,-0.1118889940081993,0.21192052980132448,915000.0,2016,D,Walton Central
123,0.2653428221610039,0.6033057851239669,970000.0,2017,D,Walton Central
139,-0.05202840961761113,0.21990141494379234,860000.0,2018,D,Walton Central
155,0.009013472399228784,0.11137567712363827,933500.0,2019,D,Walton Central
171,0.1811650406172185,0.3262032085561497,1240000.0,2020,D,Walton Central
187,-0.0984392813617958,0.03825136612021862,950000.0,2021,D,Walton Central
283,0.18701381578947363,0.47648749999999995,295297.5,2015,F,Walton Central
299,0.16671408250355624,0.631578947368421,310000.0,2016,F,Walton Central
315,0.004210526315789442,0.4736842105263157,322000.0,2017,F,Walton Central
331,-0.25520833333333326,0.11979166666666674,268750.0,2018,F,Walton Central
347,0.06188281764318626,0.30612244897959173,320000.0,2019,F,Walton Central
363,-0.036166570862210534,0.06587424546431997,314750.0,2020,F,Walton Central
379,0.04180673729317941,0.04549677419354836,324104.0,2021,F,Walton Central
475,0.2023890015776424,0.5816993464052287,605000.0,2015,S,Walton Central
491,-0.09377799718428315,0.3807982740021576,640000.0,2016,S,Walton Central
