,3y_ret,cluster,Year,Type,Lat,Lon
292,0.1681172698121851,23,2014,S,51.37016319230769,-0.39091438461538464
293,0.14856011414262005,23,2015,S,51.37016319230769,-0.39091438461538464
294,-0.0062927361207050225,23,2016,S,51.37016319230769,-0.39091438461538464
295,0.003257815244116724,23,2017,S,51.37016319230769,-0.39091438461538464
296,-0.0027372262773721623,23,2018,S,51.37016319230769,-0.39091438461538464
297,0.09007685506359242,23,2019,S,51.37016319230769,-0.39091438461538464
298,-0.05236061111340251,23,2020,S,51.37016319230769,-0.39091438461538464
299,0.011653116531165297,23,2021,S,51.37016319230769,-0.39091438461538464
303,0.6272208585343615,24,2013,D,51.32533527272727,-0.35560240909090907
304,-0.2856509344314222,24,2014,D,51.32533527272727,-0.35560240909090907
305,0.1321251982461049,24,2015,D,51.32533527272727,-0.35560240909090907
306,-0.5177109440267336,24,2016,D,51.32533527272727,-0.35560240909090907
307,-0.08979527559055112,24,2017,D,51.32533527272727,-0.35560240909090907
308,-0.05818109043085462,24,2018,D,51.32533527272727,-0.35560240909090907
309,0.13533969204726715,24,2019,D,51.32533527272727,-0.35560240909090907
310,0.04590718191183085,24,2020,D,51.32533527272727,-0.35560240909090907
311,-0.08072660098522166,24,2021,D,51.32533527272727,-0.35560240909090907
318,-0.011626422481594068,25,2013,D,51.37318198360656,-0.41359490163934426
320,-0.15623227347365276,25,2014,D,51.37318198360656,-0.41359490163934426
322,0.5117619278667314,25,2015,D,51.37318198360656,-0.41359490163934426
324,-0.033001529872245694,25,2016,D,51.37318198360656,-0.41359490163934426
326,0.5437523434570679,25,2017,D,51.37318198360656,-0.41359490163934426
328,0.3494724064864141,25,2018,D,51.37318198360656,-0.41359490163934426
330,0.5679847530090487,25,2019,D,51.37318198360656,-0.41359490163934426
332,0.17078727378509972,25,2020,D,51.37318198360656,-0.41359490163934426
334,-0.2586398733873675,25,2021,D,51.37318198360656,-0.41359490163934426
319,-0.05025062656641599,25,2013,F,51.37318198360656,-0.41359490163934426
321,1.1395327275590765,25,2014,F,51.37318198360656,-0.41359490163934426
323,0.13417631578947375,25,2015,F,51.37318198360656,-0.41359490163934426
325,-0.04858669833729223,25,2016,F,51.37318198360656,-0.41359490163934426
327,-0.0990109099153178,25,2017,F,51.37318198360656,-0.41359490163934426
329,-0.49466125086637747,25,2018,F,51.37318198360656,-0.41359490163934426
331,-0.07994632673599467,25,2019,F,51.37318198360656,-0.41359490163934426
333,0.13258228570824393,25,2020,F,51.37318198360656,-0.41359490163934426
335,0.4794405594405594,25,2021,F,51.37318198360656,-0.41359490163934426
339,0.06861842105263172,26,2013,F,51.38678192592592,-0.42097412037037035
340,0.1694927804516846,26,2014,F,51.38678192592592,-0.42097412037037035
341,0.07075887392900859,26,2015,F,51.38678192592592,-0.42097412037037035
342,-0.017207357859531758,26,2016,F,51.38678192592592,-0.42097412037037035
343,-0.11520737327188924,26,2017,F,51.38678192592592,-0.42097412037037035
344,-0.16502035931486625,26,2018,F,51.38678192592592,-0.42097412037037035
345,0.23202337023370223,26,2019,F,51.38678192592592,-0.42097412037037035
346,0.09566905943312398,26,2020,F,51.38678192592592,-0.42097412037037035
347,0.028766233766233662,26,2021,F,51.38678192592592,-0.42097412037037035
354,-0.04422821760283058,27,2013,F,51.38298310169492,-0.4042273559322034
356,0.8931427295063656,27,2014,F,51.38298310169492,-0.4042273559322034
358,-0.0427204374572796,27,2015,F,51.38298310169492,-0.4042273559322034
360,-0.23833333333333329,27,2016,F,51.38298310169492,-0.4042273559322034
362,-0.15463594470046083,27,2017,F,51.38298310169492,-0.4042273559322034
364,0.0025510204081633514,27,2018,F,51.38298310169492,-0.4042273559322034
366,0.0036900369003689537,27,2019,F,51.38298310169492,-0.4042273559322034
368,0.14602549434527723,27,2020,F,51.38298310169492,-0.4042273559322034
370,0.35350168350168343,27,2021,F,51.38298310169492,-0.4042273559322034
355,0.1543103448275862,27,2013,S,51.38298310169492,-0.4042273559322034
357,0.06271186440677967,27,2014,S,51.38298310169492,-0.4042273559322034
359,-0.022266776742540406,27,2015,S,51.38298310169492,-0.4042273559322034
361,-0.09663147310206122,27,2016,S,51.38298310169492,-0.4042273559322034
363,0.07156507295815406,27,2017,S,51.38298310169492,-0.4042273559322034
365,0.052455357142857206,27,2018,S,51.38298310169492,-0.4042273559322034
367,-0.028281911675741123,27,2019,S,51.38298310169492,-0.4042273559322034
369,0.10876744977868569,27,2020,S,51.38298310169492,-0.4042273559322034
371,-0.06592943654555028,27,2021,S,51.38298310169492,-0.4042273559322034
381,-0.022869674185463706,28,2013,F,51.39164291803279,-0.41475059016393445
384,-0.04015029504776191,28,2014,F,51.39164291803279,-0.41475059016393445
387,-0.03947368421052633,28,2015,F,51.39164291803279,-0.41475059016393445
390,-0.009335260115606925,28,2016,F,51.39164291803279,-0.41475059016393445
393,0.076356675972304,28,2017,F,51.39164291803279,-0.41475059016393445
396,-0.2081632653061224,28,2018,F,51.39164291803279,-0.41475059016393445
399,-0.17156769505839398,28,2019,F,51.39164291803279,-0.41475059016393445
402,-0.19204871060171913,28,2020,F,51.39164291803279,-0.41475059016393445
405,0.2400757575757576,28,2021,F,51.39164291803279,-0.41475059016393445
382,0.15153256704980844,28,2013,S,51.39164291803279,-0.41475059016393445
385,-0.10556938559322027,28,2014,S,51.39164291803279,-0.41475059016393445
388,-0.0827822280178836,28,2015,S,51.39164291803279,-0.41475059016393445
391,-0.02841787033926768,28,2016,S,51.39164291803279,-0.41475059016393445
394,0.06343961765634831,28,2017,S,51.39164291803279,-0.41475059016393445
397,0.0310693641618498,28,2018,S,51.39164291803279,-0.41475059016393445
400,0.12873563218390793,28,2019,S,51.39164291803279,-0.41475059016393445
403,-0.004940675608664735,28,2020,S,51.39164291803279,-0.41475059016393445
406,-0.10777777777777775,28,2021,S,51.39164291803279,-0.41475059016393445
383,0.2545163807158075,28,2013,T,51.39164291803279,-0.41475059016393445
386,-0.011314432198608948,28,2014,T,51.39164291803279,-0.41475059016393445
389,-0.0931481481481482,28,2015,T,51.39164291803279,-0.41475059016393445
392,-0.10340670859538781,28,2016,T,51.39164291803279,-0.41475059016393445
395,-0.00410706698767882,28,2017,T,51.39164291803279,-0.41475059016393445
398,0.17214694110920514,28,2018,T,51.39164291803279,-0.41475059016393445
401,0.054739833975845587,28,2019,T,51.39164291803279,-0.41475059016393445
404,-0.09952500000000009,28,2020,T,51.39164291803279,-0.41475059016393445
407,-0.0076782250223979,28,2021,T,51.39164291803279,-0.41475059016393445
411,0.14351815583165894,31,2013,D,51.376682274509804,-0.4021228823529412
412,0.3504761904761906,31,2014,D,51.376682274509804,-0.4021228823529412
413,0.2052188552188552,31,2015,D,51.376682274509804,-0.4021228823529412
414,-0.0359512398716233,31,2016,D,51.376682274509804,-0.4021228823529412
415,-0.14548758328285882,31,2017,D,51.376682274509804,-0.4021228823529412
416,-0.04276766490506945,31,2018,D,51.376682274509804,-0.4021228823529412
417,-0.05052180093013969,31,2019,D,51.376682274509804,-0.4021228823529412
418,0.0601289307332602,31,2020,D,51.376682274509804,-0.4021228823529412
419,0.0880556709597009,31,2021,D,51.376682274509804,-0.4021228823529412
426,-0.14648776132810448,32,2013,D,51.39639443835617,-0.3515982602739726
428,-0.0430681133212778,32,2014,D,51.39639443835617,-0.3515982602739726
430,-0.1214995483288166,32,2015,D,51.39639443835617,-0.3515982602739726
432,0.020510671583417128,32,2016,D,51.39639443835617,-0.3515982602739726
434,-0.06345995274736072,32,2017,D,51.39639443835617,-0.3515982602739726
436,-0.09011045247132077,32,2018,D,51.39639443835617,-0.3515982602739726
438,0.05419799788219781,32,2019,D,51.39639443835617,-0.3515982602739726
440,0.03264478697004658,32,2020,D,51.39639443835617,-0.3515982602739726
442,0.2070481242895037,32,2021,D,51.39639443835617,-0.3515982602739726
427,-0.0454684162343606,32,2013,S,51.39639443835617,-0.3515982602739726
429,-0.1492881355932203,32,2014,S,51.39639443835617,-0.3515982602739726
431,-0.22151001191219,32,2015,S,51.39639443835617,-0.3515982602739726
433,0.06071541627097199,32,2016,S,51.39639443835617,-0.3515982602739726
435,0.004351329572925167,32,2017,S,51.39639443835617,-0.3515982602739726
437,0.2948412698412699,32,2018,S,51.39639443835617,-0.3515982602739726
439,-0.006950642325895928,32,2019,S,51.39639443835617,-0.3515982602739726
441,0.09521121434745017,32,2020,S,51.39639443835617,-0.3515982602739726
443,-0.1412210421712936,32,2021,S,51.39639443835617,-0.3515982602739726
450,0.10740406187192741,33,2013,D,51.382514,-0.31372905263157896
452,0.4878674948240167,33,2014,D,51.382514,-0.31372905263157896
454,-0.3680650037792895,33,2015,D,51.382514,-0.31372905263157896
456,0.02898771183277349,33,2016,D,51.382514,-0.31372905263157896
458,-0.13881986575448557,33,2017,D,51.382514,-0.31372905263157896
460,0.14916841833536165,33,2018,D,51.382514,-0.31372905263157896
462,0.11775257609143241,33,2019,D,51.382514,-0.31372905263157896
464,0.09527104959630917,33,2020,D,51.382514,-0.31372905263157896
466,-0.10784748010610079,33,2021,D,51.382514,-0.31372905263157896
451,-0.14177399252181133,33,2013,S,51.382514,-0.31372905263157896
453,0.3020377071034088,33,2014,S,51.382514,-0.31372905263157896
455,-0.11998604813393787,33,2015,S,51.382514,-0.31372905263157896
457,0.5692307692307694,33,2016,S,51.382514,-0.31372905263157896
459,-0.25567443255674427,33,2017,S,51.382514,-0.31372905263157896
461,0.2901785714285714,33,2018,S,51.382514,-0.31372905263157896
463,0.06637004078605857,33,2019,S,51.382514,-0.31372905263157896
465,0.06407048008171601,33,2020,S,51.382514,-0.31372905263157896
467,-0.10364528566421305,33,2021,S,51.382514,-0.31372905263157896
474,0.00897761529111829,35,2013,D,51.363800373626376,-0.4375648681318681
476,0.1214621059691483,35,2014,D,51.363800373626376,-0.4375648681318681
478,0.12781915994206483,35,2015,D,51.363800373626376,-0.4375648681318681
480,0.3928512870962453,35,2016,D,51.363800373626376,-0.4375648681318681
482,-0.1060492438445193,35,2017,D,51.363800373626376,-0.4375648681318681
484,-0.23187022900763354,35,2018,D,51.363800373626376,-0.4375648681318681
486,-0.3192715392903068,35,2019,D,51.363800373626376,-0.4375648681318681
488,0.07988643421169384,35,2020,D,51.363800373626376,-0.4375648681318681
490,0.13653530377668321,35,2021,D,51.363800373626376,-0.4375648681318681
475,-0.02529824561403493,35,2013,F,51.363800373626376,-0.4375648681318681
477,0.1279347426094779,35,2014,F,51.363800373626376,-0.4375648681318681
479,-0.15398981324278438,35,2015,F,51.363800373626376,-0.4375648681318681
481,0.46200194678780004,35,2016,F,51.363800373626376,-0.4375648681318681
483,-0.07137835660882219,35,2017,F,51.363800373626376,-0.4375648681318681
485,0.042323747680890644,35,2018,F,51.363800373626376,-0.4375648681318681
487,-0.4177385345282024,35,2019,F,51.363800373626376,-0.4375648681318681
489,-0.03403435653473352,35,2020,F,51.363800373626376,-0.4375648681318681
491,-0.013481152993348178,35,2021,F,51.363800373626376,-0.4375648681318681
495,-0.30158907027556725,37,2013,D,51.356714781818184,-0.4593908909090909
496,0.05848771785371221,37,2014,D,51.356714781818184,-0.4593908909090909
497,-0.07010582010582023,37,2015,D,51.356714781818184,-0.4593908909090909
498,0.045761995349820284,37,2016,D,51.356714781818184,-0.4593908909090909
499,0.0803865425912671,37,2017,D,51.356714781818184,-0.4593908909090909
500,0.18201865988125543,37,2018,D,51.356714781818184,-0.4593908909090909
501,0.12852004110996917,37,2019,D,51.356714781818184,-0.4593908909090909
502,-0.19851004493105395,37,2020,D,51.356714781818184,-0.4593908909090909
503,-0.08965517241379306,37,2021,D,51.356714781818184,-0.4593908909090909
507,-0.262110745614035,38,2013,F,51.37335479680365,-0.4575132420091326
508,-0.21378929950358527,38,2014,F,51.37335479680365,-0.4575132420091326
509,-0.027568922305764465,38,2015,F,51.37335479680365,-0.4575132420091326
510,0.24718737646593758,38,2016,F,51.37335479680365,-0.4575132420091326
